"MERCHANT NAME","BRANCH NAME","NPWP","NOPD","BILL NO","DATE","TOTAL AMOUNT","SERVICE","PPN","TOTAL TRX AMOUNT","PAYMENT TYPE"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002587","2019-04-13 00:00:00","336000","0","0","391776","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002588","2019-04-13 00:00:00","364000","0","0","424424","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002618","2019-04-13 00:00:00","770000","0","0","897820","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002589","2019-04-13 00:00:00","476000","0","0","555016","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002619","2019-04-13 00:00:00","1106000","0","0","1289596","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002590","2019-04-13 00:00:00","336000","0","0","391776","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002620","2019-04-13 00:00:00","672000","0","0","783552","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002591","2019-04-13 00:00:00","840000","0","0","979440","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002621","2019-04-13 00:00:00","970000","0","0","1131020","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002592","2019-04-13 00:00:00","336000","0","0","391776","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002622","2019-04-13 00:00:00","336000","0","0","391776","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002593","2019-04-13 00:00:00","336000","0","0","391776","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002623","2019-04-13 00:00:00","336000","0","0","391776","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002594","2019-04-13 00:00:00","840000","0","0","979440","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002624","2019-04-13 00:00:00","266000","0","0","310156","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002595","2019-04-13 00:00:00","476000","0","0","555016","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002596","2019-04-13 00:00:00","504000","0","0","587664","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002627","2019-04-14 00:00:00","1446000","0","0","1686036","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002628","2019-04-14 00:00:00","602000","0","0","701932","Unknown"
