"Tanggal","Wajib Pajak","Outlet","PPN","Total Transaksi"
"04 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","226121","11"
"05 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","86714","6"
"06 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","216280","9"
"07 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","172502","9"
"08 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","139301","11"
"09 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","261269","13"
"10 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","245694","19"
"11 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","126732","7"
"12 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","154029","7"
"13 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","205540","12"
"14 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","67580","7"
"15 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","171832","13"
"16 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","202610","17"
"17 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","381843","22"
"18 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","150851","12"
"19 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","155906","8"
"20 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","121424","15"
"21 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","201583","12"
"22 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","100744","9"
"23 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","96740","10"
"24 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","372617","28"
"25 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","158393","14"
"26 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","115346","8"
"27 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","144338","10"
"28 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","126104","11"
"29 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","187537","19"
"30 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PACIFIC PLACE","104793","12"
"01 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","306043","37"
"02 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","167597","24"
"03 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","280004","38"
"04 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","328644","41"
"05 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","287369","37"
"06 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","264941","28"
"07 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","131506","20"
"08 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","157235","21"
"09 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","220552","25"
"10 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","239969","42"
"11 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","414629","53"
"12 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","377384","41"
"13 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","163119","19"
"14 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","150598","20"
"15 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","294927","31"
"16 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","206225","25"
"17 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","425576","53"
"18 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","547306","53"
"19 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","419989","44"
"20 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","195349","27"
"21 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","210650","28"
"22 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","369759","51"
"23 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","437428","42"
"24 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","367745","47"
"25 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","787696","99"
"26 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","859336","103"
"27 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","358377","43"
"28 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","365996","50"
"29 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","420215","52"
"30 September 2021","NEGIYA DONBURI","NEGIYA DONBURI PIK AVENUE","413051","48"
"01 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","208"
"02 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","254"
"03 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","190"
"04 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","246"
"05 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","405"
"06 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","345"
"07 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","174"
"08 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","187"
"09 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","188"
"10 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","176"
"11 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","263"
"12 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","380"
"13 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","314"
"14 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","177"
"15 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","180"
"16 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","227"
"17 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","207"
"18 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","297"
"19 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","445"
"20 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","269"
"21 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","208"
"22 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","195"
"23 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","252"
"24 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","269"
"25 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","328"
"26 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","467"
"27 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","412"
"28 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","207"
"29 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","213"
"30 September 2021","Ban Ban","Ban Ban Grand Indonesia","0","217"
"01 September 2021","Ban Ban","Ban Ban Emporium","0","134"
"02 September 2021","Ban Ban","Ban Ban Emporium","0","122"
"03 September 2021","Ban Ban","Ban Ban Emporium","0","149"
"04 September 2021","Ban Ban","Ban Ban Emporium","0","194"
"05 September 2021","Ban Ban","Ban Ban Emporium","0","179"
"06 September 2021","Ban Ban","Ban Ban Emporium","0","95"
"07 September 2021","Ban Ban","Ban Ban Emporium","0","121"
"08 September 2021","Ban Ban","Ban Ban Emporium","0","122"
"09 September 2021","Ban Ban","Ban Ban Emporium","0","100"
"10 September 2021","Ban Ban","Ban Ban Emporium","0","150"
"11 September 2021","Ban Ban","Ban Ban Emporium","0","204"
"12 September 2021","Ban Ban","Ban Ban Emporium","0","153"
"13 September 2021","Ban Ban","Ban Ban Emporium","0","129"
"14 September 2021","Ban Ban","Ban Ban Emporium","0","112"
"15 September 2021","Ban Ban","Ban Ban Emporium","0","130"
"16 September 2021","Ban Ban","Ban Ban Emporium","0","123"
"17 September 2021","Ban Ban","Ban Ban Emporium","0","185"
"18 September 2021","Ban Ban","Ban Ban Emporium","0","185"
"19 September 2021","Ban Ban","Ban Ban Emporium","0","171"
"20 September 2021","Ban Ban","Ban Ban Emporium","0","101"
"21 September 2021","Ban Ban","Ban Ban Emporium","0","139"
"22 September 2021","Ban Ban","Ban Ban Emporium","0","170"
"23 September 2021","Ban Ban","Ban Ban Emporium","0","158"
"24 September 2021","Ban Ban","Ban Ban Emporium","0","214"
"25 September 2021","Ban Ban","Ban Ban Emporium","0","256"
"26 September 2021","Ban Ban","Ban Ban Emporium","0","248"
"27 September 2021","Ban Ban","Ban Ban Emporium","0","115"
"28 September 2021","Ban Ban","Ban Ban Emporium","0","120"
"29 September 2021","Ban Ban","Ban Ban Emporium","0","100"
"30 September 2021","Ban Ban","Ban Ban Emporium","0","123"
"01 September 2021","Ban Ban","Ban ban pim 2","0","123"
"02 September 2021","Ban Ban","Ban ban pim 2","0","129"
"03 September 2021","Ban Ban","Ban ban pim 2","0","110"
"04 September 2021","Ban Ban","Ban ban pim 2","0","149"
"05 September 2021","Ban Ban","Ban ban pim 2","0","260"
"06 September 2021","Ban Ban","Ban ban pim 2","0","220"
"07 September 2021","Ban Ban","Ban ban pim 2","0","107"
"08 September 2021","Ban Ban","Ban ban pim 2","0","116"
"09 September 2021","Ban Ban","Ban ban pim 2","0","102"
"10 September 2021","Ban Ban","Ban ban pim 2","0","140"
"11 September 2021","Ban Ban","Ban ban pim 2","0","140"
"12 September 2021","Ban Ban","Ban ban pim 2","0","232"
"13 September 2021","Ban Ban","Ban ban pim 2","0","218"
"14 September 2021","Ban Ban","Ban ban pim 2","0","111"
"15 September 2021","Ban Ban","Ban ban pim 2","0","110"
"16 September 2021","Ban Ban","Ban ban pim 2","0","99"
"17 September 2021","Ban Ban","Ban ban pim 2","0","142"
"18 September 2021","Ban Ban","Ban ban pim 2","0","166"
"19 September 2021","Ban Ban","Ban ban pim 2","0","239"
"20 September 2021","Ban Ban","Ban ban pim 2","0","190"
"21 September 2021","Ban Ban","Ban ban pim 2","0","113"
"22 September 2021","Ban Ban","Ban ban pim 2","0","132"
"23 September 2021","Ban Ban","Ban ban pim 2","0","169"
"24 September 2021","Ban Ban","Ban ban pim 2","0","121"
"25 September 2021","Ban Ban","Ban ban pim 2","0","180"
"26 September 2021","Ban Ban","Ban ban pim 2","0","276"
"27 September 2021","Ban Ban","Ban ban pim 2","0","243"
"28 September 2021","Ban Ban","Ban ban pim 2","0","113"
"29 September 2021","Ban Ban","Ban ban pim 2","0","115"
"30 September 2021","Ban Ban","Ban ban pim 2","0","142"
"01 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","44"
"02 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","42"
"03 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","75"
"04 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","111"
"05 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","116"
"06 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","54"
"07 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","47"
"08 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","49"
"09 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","58"
"10 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","69"
"11 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","92"
"12 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","109"
"13 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","67"
"14 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","50"
"15 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","78"
"16 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","72"
"17 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","70"
"18 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","143"
"19 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","118"
"20 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","51"
"21 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","73"
"22 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","83"
"23 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","90"
"24 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","106"
"25 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","160"
"26 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","164"
"27 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","66"
"28 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","79"
"29 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","74"
"30 September 2021","Ban Ban","Ban Ban Lippo Mall Lt. LG","0","82"
"01 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","478227","19"
"02 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","429930","19"
"03 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","421413","23"
"04 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","499086","25"
"05 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","263364","11"
"06 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","211548","10"
"07 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","269688","13"
"08 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","385611","15"
"09 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","427890","25"
"10 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","371484","16"
"11 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","448851","19"
"12 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","284631","14"
"13 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","151674","4"
"14 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","478635","23"
"15 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","295290","14"
"16 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","568854","30"
"17 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","626280","29"
"18 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","523107","19"
"19 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","318597","13"
"20 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","191760","7"
"21 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","305490","15"
"22 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","337569","19"
"23 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","423453","19"
"24 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","395834","20"
"25 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","488682","28"
"26 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","450024","25"
"27 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","199971","10"
"28 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","281469","16"
"29 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","488886","24"
"30 September 2021","TEKKO RESTO","TEKKO PLAZA VESTIVAL","629138","26"
"01 September 2021","TEKKO RESTO","Tekko Daan Mogot","340580","16"
"02 September 2021","TEKKO RESTO","Tekko Daan Mogot","288950","14"
"03 September 2021","TEKKO RESTO","Tekko Daan Mogot","377020","20"
"04 September 2021","TEKKO RESTO","Tekko Daan Mogot","174540","9"
"05 September 2021","TEKKO RESTO","Tekko Daan Mogot","467230","23"
"06 September 2021","TEKKO RESTO","Tekko Daan Mogot","634020","28"
"07 September 2021","TEKKO RESTO","Tekko Daan Mogot","249190","13"
"08 September 2021","TEKKO RESTO","Tekko Daan Mogot","351550","19"
"09 September 2021","TEKKO RESTO","Tekko Daan Mogot","175630","11"
"10 September 2021","TEKKO RESTO","Tekko Daan Mogot","408160","19"
"11 September 2021","TEKKO RESTO","Tekko Daan Mogot","175340","12"
"12 September 2021","TEKKO RESTO","Tekko Daan Mogot","385880","20"
"13 September 2021","TEKKO RESTO","Tekko Daan Mogot","652580","26"
"14 September 2021","TEKKO RESTO","Tekko Daan Mogot","292550","13"
"15 September 2021","TEKKO RESTO","Tekko Daan Mogot","223020","8"
"16 September 2021","TEKKO RESTO","Tekko Daan Mogot","343750","19"
"17 September 2021","TEKKO RESTO","Tekko Daan Mogot","399650","15"
"18 September 2021","TEKKO RESTO","Tekko Daan Mogot","644160","14"
"19 September 2021","TEKKO RESTO","Tekko Daan Mogot","616210","23"
"20 September 2021","TEKKO RESTO","Tekko Daan Mogot","1076360","31"
"21 September 2021","TEKKO RESTO","Tekko Daan Mogot","339960","17"
"22 September 2021","TEKKO RESTO","Tekko Daan Mogot","175160","12"
"23 September 2021","TEKKO RESTO","Tekko Daan Mogot","347030","12"
"24 September 2021","TEKKO RESTO","Tekko Daan Mogot","239190","13"
"25 September 2021","TEKKO RESTO","Tekko Daan Mogot","449420","19"
"26 September 2021","TEKKO RESTO","Tekko Daan Mogot","849594","24"
"27 September 2021","TEKKO RESTO","Tekko Daan Mogot","214020","13"
"28 September 2021","TEKKO RESTO","Tekko Daan Mogot","535400","11"
"29 September 2021","TEKKO RESTO","Tekko Daan Mogot","169610","10"
"30 September 2021","TEKKO RESTO","Tekko Daan Mogot","341910","16"
"01 September 2021","Angus House","Angus House","1184095","7"
"02 September 2021","Angus House","Angus House","1717243","9"
"03 September 2021","Angus House","Angus House","2876940","16"
"04 September 2021","Angus House","Angus House","4867940","21"
"05 September 2021","Angus House","Angus House","4734576","27"
"06 September 2021","Angus House","Angus House","1477190","9"
"07 September 2021","Angus House","Angus House","1504690","10"
"08 September 2021","Angus House","Angus House","1709730","12"
"09 September 2021","Angus House","Angus House","1420958","8"
"10 September 2021","Angus House","Angus House","3814635","14"
"11 September 2021","Angus House","Angus House","5287040","25"
"12 September 2021","Angus House","Angus House","4457354","17"
"13 September 2021","Angus House","Angus House","3059293","16"
"14 September 2021","Angus House","Angus House","2373800","12"
"15 September 2021","Angus House","Angus House","1881825","10"
"16 September 2021","Angus House","Angus House","1422740","8"
"17 September 2021","Angus House","Angus House","3102660","18"
"18 September 2021","Angus House","Angus House","5174972","23"
"19 September 2021","Angus House","Angus House","4623311","20"
"20 September 2021","Angus House","Angus House","993300","9"
"21 September 2021","Angus House","Angus House","2380950","15"
"22 September 2021","Angus House","Angus House","1881759","12"
"23 September 2021","Angus House","Angus House","3796045","19"
"24 September 2021","Angus House","Angus House","4099535","23"
"25 September 2021","Angus House","Angus House","7793566","47"
"26 September 2021","Angus House","Angus House","7001390","33"
"27 September 2021","Angus House","Angus House","1659130","12"
"28 September 2021","Angus House","Angus House","1924725","13"
"29 September 2021","Angus House","Angus House","1822865","10"
"30 September 2021","Angus House","Angus House","2654795","15"
"01 September 2021","BORNGA","BORNGA PIK","1332517","25"
"02 September 2021","BORNGA","BORNGA PIK","1606536","21"
"03 September 2021","BORNGA","BORNGA PIK","1162120","16"
"04 September 2021","BORNGA","BORNGA PIK","3474727","45"
"05 September 2021","BORNGA","BORNGA PIK","2367061","39"
"06 September 2021","BORNGA","BORNGA PIK","1492614","13"
"07 September 2021","BORNGA","BORNGA PIK","1092201","10"
"08 September 2021","BORNGA","BORNGA PIK","744035","15"
"09 September 2021","BORNGA","BORNGA PIK","615566","9"
"10 September 2021","BORNGA","BORNGA PIK","1106772","16"
"11 September 2021","BORNGA","BORNGA PIK","2650209","44"
"12 September 2021","BORNGA","BORNGA PIK","2672722","37"
"13 September 2021","BORNGA","BORNGA PIK","709149","13"
"14 September 2021","BORNGA","BORNGA PIK","1804035","27"
"15 September 2021","BORNGA","BORNGA PIK","1886817","24"
"16 September 2021","BORNGA","BORNGA PIK","1147787","16"
"17 September 2021","BORNGA","BORNGA PIK","2199764","25"
"18 September 2021","BORNGA","BORNGA PIK","3181739","42"
"19 September 2021","BORNGA","BORNGA PIK","3906440","50"
"20 September 2021","BORNGA","BORNGA PIK","1165035","20"
"21 September 2021","BORNGA","BORNGA PIK","2342065","28"
"22 September 2021","BORNGA","BORNGA PIK","1755677","26"
"23 September 2021","BORNGA","BORNGA PIK","1172494","16"
"24 September 2021","BORNGA","BORNGA PIK","1846809","32"
"25 September 2021","BORNGA","BORNGA PIK","3083379","43"
"26 September 2021","BORNGA","BORNGA PIK","3348608","44"
"27 September 2021","BORNGA","BORNGA PIK","1597914","25"
"28 September 2021","BORNGA","BORNGA PIK","1630921","19"
"29 September 2021","BORNGA","BORNGA PIK","1259983","29"
"30 September 2021","BORNGA","BORNGA PIK","854403","18"
